"1","名無しさん@着ぐるみすと","","2004-04-07T17:14+09:00","文才よ集まれ！
ここは着ぐるみを題材にした小説を載せるスレです。

【ルール】
あなたが作ったオリジナルの文章を募集します。
長い文章は何回かに分けて連載してください。（何話でも可）
識別の為、名前欄には必ずペンネームとトリップを入れてください。
トリップは変えないでください。
題材が着ぐるみならどんな内容でもOKです。
文章を読んだ人はこのスレに感想を書いてください。（任意）
では、がんがれ！ 

前スレ
http://jbbs.shitaraba.com/bbs/read.cgi/anime/846/1067870090/"
"2","人形屋","oLhH.OUc","2004-04-08T10:06+09:00","第２章ももうすこしなんでいっきにいきます。"
"3","人形屋","oLhH.OUc","2004-04-08T10:08+09:00","激しい戦いを終えたが、俊介もリナも相当ダメージを負っていた、そのまま倒れてしまった
　　リナが目覚めたときはもう夜になっていた、宿営地にテントを設営されて、リナはそこに寝かされて
　　いた。

　　リナ（俊介、俊介・・）
　　俊介（う、あれ、俺どうなったんだ？）
　　リナ（イーグルにやられて気を失ってたんだよ）

　　俊介（そっか、俺、あのときイーグルに捕まって・・で、どうなったんだ？）
　　リナ（リナもわからない、でも、俊介が無事でよかった）
　　俊介（そっか、無様なとこ見せちゃったな）

　　リナ（ううん、俊介が無事ならそれでいい）

　　そこに、リンダが入ってくる

　　リンダ「よ、やっと目が覚めたか、すごい大怪我を負ったのにもう、動けるのか、さすがだな。」
　　リナ「あのあと、どうなったんですか？イーグルは？」
　　リンダ「それが俺にもわからねえ、気がついたら奴らはいなくなってたし、リナも倒れてたんだ。」
　　リナ「そうなんですか。」"
"4","人形屋","oLhH.OUc","2004-04-08T10:21+09:00"," リンダ「私が気を失う寸前にリナをみたとき、リナがなんかいつもと違って見えた
んだ、鎧の色が違って見えたんだ。」

　俊介（え？どうゆうことなんだ、俺、気を失っててわかんなかった、リナ知ってるか？）
　リナ（ううｎ、わからない、私もよく覚えてないの、多分、スーツの自己防衛機能が
　誤作動をおこしたのよ）

　リナ（ごめんね俊介、リナが勝手にやったのに、今はしらなかったことにしておくわ）
　
　リナは起き上がろうと両手をつくが腕に力がはいらない
　リナ「きゃ、なに腕がうごかない。」
　リンダ「無理するな、今はゆっくり休め。」"
"5","人形屋","oLhH.OUc","2004-04-08T10:29+09:00","リナ「ありがと、そうさせてもえると嬉しいです。」
リンダ「さっき、衛生兵からちらっと聞いたんだが、リナは普通の身体構造じゃないって。」

俊介（バレたかな？）
リナ（どうかしら）

リナ「そんな、私は普通の人間です、ただ、異世界の人間はみんなこうなんです。」
リンダ「そうか、そうだよな、こっちの世界の構造だってリナたちからみれば
かなり特殊なわけだし。」

リナ（もう、俊介の嘘つき、そんなわけないじゃん）

リンダ「じゃあ、私は引き続き見張りをする、いつ敵が襲撃してくるかわかんないしな。」"
"6","人形屋","oLhH.OUc","2004-04-08T10:30+09:00","リナ「そんな、私なら大丈夫ですからリンダさんがお休みになって。」
　　リンダ「いや、やらせてくれ、それと、私のことリンダでいいよ、私たちはもう友達なんだし。」
　　リナ「リンダさん・・」

　　リンダ「リンダでいいっていったろ、あのときももしリナがいなかったら、スラッシュは壊滅してただ
　　ろうし、リナは命をかけて戦ってくれた。」

　　リナ「私もリンダの矢がなかったら、あのまま締め殺されてたかもしれないし。」

　　お互い傷をなめあう二人、次第にいい雰囲気になってくる

　　リンダ「私、リナのこと好きだ、初めてキスしたときから。」
　　リナ「リンダ・・」

　　リンダはリナの身体の上によってきた

　　リンダ「キスしていい？」

　　小さくうなずくリナ、ランプの炎をけして、リナとリンダの夜はふけていった"
"7","人形屋","oLhH.OUc","2004-04-08T10:31+09:00","
     一夜明けて出発するこになった、リナの怪我も石の力でなんとか立てるくらいまでは回復した
　　一行は３５人になっていた、深い山間の小さな町にたどり着く

　　男「俺たちの町になんか用ですか、そんな武器持って、用がないならさっさと出て行ってくれ。」
　　リンダ「私たちはこの町に危害を加えるつもりはない、聞きたい事があるのだ。」
　　男「聞きたい事？」

　　リンダ「私たちは訳あって遊牧民族のキグル民を探しているのだが、彼らが今どこにいるか知りませんか？」
　　男「はて、キグル民？聞いた事もないですな。」

　　リンダ「そうか、で、もう一つ頼みがあるのだが、我々はここから西の果てより旅してきたのだ
　　兵糧も底をつき、部下たちも手負いの傷がある、補給と休養も含めてこの町で休ませてもらえない
　　だろうか。」

　　男「見てのとおりこの町の人間はみな女子供ばかり、みな怖がっております、どうか別の町にして
　　もらえないでしょうか？」

　　リンダ「金は出す、頼む、一晩だけでいいんだ。」
　　男「わかりました、明日の朝には出て行ってくれますね？」
　　リンダ「わかった、約束しよう。」"
"8","人形屋","oLhH.OUc","2004-04-08T10:32+09:00","
　　町の宿屋には入れないため、少し町はずれにテントをはるこになった、リナは食料の
　　買出しに行くことになった。

　　リナ「み、みなさん、そんなにゾロゾロついてきたらみんな怖がってますよ。」
　　盗賊「いえ、私たちリナ様親衛隊は常にリナ様の側でリナ様の身を護る事が使命です。」

　　ある程度の買出しを済ませると、リナはこっそり親衛隊の目を盗み町外れにでるリナ

　　俊介（ふーやっと抜け出してきたな）
　　リナ（そうね）

　　すると、物陰から誰かの気配を感じる

　　リナ（俊介、だれかいる）
　　俊介（わかってる）

　　リナ「誰です？さっきから私についてきて、姿を見せて。」

　　すると、物陰から男が出てくる、その男には殺気のようなものを感じた
　　
　　男「やれやれ、バレてましたか、気配は消していたつもりでしたが。」"
"9","人形屋","oLhH.OUc","2004-04-08T10:33+09:00","リナ「あなたは誰ですか？」
　　男「人の名を聞くときはまず自分から名乗るのが礼儀じゃないかな？」
　　リナ「そうね、私はリナっていいます、あなたは？」

　　男「僕かい？僕はロキってゆうんだ、よろしくリナさん。」

　　ロキと名乗ったこの男、まるで女のようないでたちに加えてかなりの美形だ

　　ロキ「リナさん、町を案内しましょう。」
　　リナ「お願いしますロキさん。」

　　そうしてリナとロキはしばらく一緒に町を観光する事にした

　　ロキ「それにしてもリナさんはなんとも珍しい服を着ているんだね。」
　　リナ「私のいた世界では結構有名な服なんですよ。」
　　ロキ「私のいた世界とは？」

　　俊介（まずいな）

　　ロキ「それはどうゆう事なんですリナさん、よかったら僕にだけ教えてもらえませんか？」
　　リナ「ここでは、なにかとまずいので、人がいない所でお話します。」"
"10","人形屋","oLhH.OUc","2004-04-08T10:34+09:00","リナとロキは町外れの小高い丘にきた、ここからは風景が綺麗で町が一望できるのだ、
　　木の幹に腰を下ろして話はじめる。

　　リナ「私は異世界からきたんです、そこで今のリーダーに出会ったの。」
　　ロキ「異世界、リナさんは異世界からきたんですか。」

　　リナ「国王の独裁を阻止すべく宝玉ドラゴンオーブを求めて旅してるです。」
　　ロキ「ドラゴンオーブ？あの伝説の神器の一つドラゴンオーブですか？」
　　リナ「そうです。」

　　ロキの身体がブルブル震えはじめる

　　リナ「大丈夫？ロキさん。」
　　ロキ「いえ、なんでもありません、異世界とドラゴンオーブ、そしてラグナロク、そこに現れた救世主ですか
　　なんとゆう運命のめぐりあわせなんだ。」

　　リナ「そうね、私もいきなりこの世界にきていろんなことありすぎて。」
　　ロキ「そうですか、大変ですね。」

　　リナ「ロキさんはこの町でなにをしているんですか？」
　　ロキ「僕はこの町で学校の教師をしております。」"
